data;horario;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;mortos
16/01/2021;16:36:00;3 - Acidente com Danos Materiais;39,5;BR-116/PR;Sul;Capotamento;
16/01/2021;16:52:00;3 - Acidente com Danos Materiais;38,8;BR-116/PR;Sul;Capotamento;
16/01/2021;21:35:00;3 - Acidente com Danos Materiais;61,9;BR-116/PR;Norte;Capotamento;
15/01/2021;08:02:00;3 - Acidente com Danos Materiais;46,9;BR-116/PR;Norte;Saida de Pista;
15/01/2021;08:02:00;3 - Acidente com Danos Materiais;46,8;BR-116/PR;Norte;Choque - Talude;
15/01/2021;14:12:00;3 - Acidente com Danos Materiais;58,3;BR-116/PR;Norte;Saida de Pista;
15/01/2021;18:34:00;3 - Acidente com Danos Materiais;16,9;BR-116/PR;Norte;Capotamento;
15/01/2021;18:41:00;3 - Acidente com Danos Materiais;46,8;BR-116/PR;Norte;Saida de Pista;
14/01/2021;05:17:00;3 - Acidente com Danos Materiais;46,8;BR-116/PR;Norte;Saida de Pista;
14/01/2021;07:02:00;3 - Acidente com Danos Materiais;46,5;BR-116/PR;Norte;Choque - Elemento de Drenagem;
14/01/2021;07:57:00;3 - Acidente com Danos Materiais;46,5;BR-116/PR;Norte;Choque - Elemento de Drenagem;
14/01/2021;08:57:00;3 - Acidente com Danos Materiais;25,95;BR-116/PR;Norte;Colisão Lateral;
14/01/2021;09:05:00;2 - Acidente com VITIMA;16,9;BR-116/PR;Norte;Saida de Pista;
14/01/2021;10:27:00;3 - Acidente com Danos Materiais;0,2;BR-116/PR;Sul;Saida de Pista;
14/01/2021;14:03:00;3 - Acidente com Danos Materiais;46,7;BR-116/PR;Norte;Choque - Talude;
14/01/2021;14:11:00;3 - Acidente com Danos Materiais;39;BR-116/PR;Sul;Capotamento;
14/01/2021;14:28:00;3 - Acidente com Danos Materiais;1,1;BR-116/PR;Sul;Saida de Pista;
14/01/2021;16:37:00;3 - Acidente com Danos Materiais;63,3;BR-116/PR;Norte;Colisão Lateral;
